iter	Passed	Remaining
838	13513	2593
839	13529	2577
840	13544	2560
841	13561	2544
842	13577	2528
843	13595	2512
844	13612	2496
845	13629	2480
846	13647	2465
847	13662	2448
848	13679	2433
849	13694	2416
850	13709	2400
851	13725	2384
852	13741	2368
853	13759	2352
854	13775	2336
855	13792	2320
856	13810	2304
857	13825	2288
858	13841	2272
859	13856	2255
860	13873	2239
861	13889	2223
862	13906	2207
863	13921	2191
864	13938	2175
865	13955	2159
866	13973	2143
867	13991	2127
868	14009	2111
869	14027	2096
870	14042	2079
871	14057	2063
872	14074	2047
873	14090	2031
874	14106	2015
875	14122	1999
876	14138	1982
877	14156	1967
878	14173	1951
879	14189	1934
880	14205	1918
881	14222	1902
882	14240	1886
883	14255	1870
884	14269	1854
885	14283	1837
886	14296	1821
887	14310	1804
888	14323	1788
889	14336	1771
890	14349	1755
891	14363	1739
892	14377	1722
893	14390	1706
894	14405	1690
895	14422	1674
896	14438	1657
897	14452	1641
898	14466	1625
899	14479	1608
900	14492	1592
901	14506	1576
902	14526	1560
903	14541	1544
904	14554	1527
905	14569	1511
906	14586	1495
907	14604	1479
908	14620	1463
909	14636	1447
910	14652	1431
911	14667	1415
912	14686	1399
913	14702	1383
914	14718	1367
915	14735	1351
916	14749	1335
917	14766	1318
918	14783	1302
919	14798	1286
920	14815	1270
921	14833	1254
922	14849	1238
923	14864	1222
924	14880	1206
925	14897	1190
926	14915	1174
927	14930	1158
928	14946	1142
929	14963	1126
930	14981	1110
931	14997	1094
932	15014	1078
933	15030	1062
934	15047	1046
935	15063	1029
936	15082	1014
937	15099	998
938	15116	982
939	15132	965
940	15148	949
941	15164	933
942	15181	917
943	15197	901
944	15212	885
945	15228	869
946	15244	853
947	15260	837
948	15278	821
949	15294	804
950	15309	788
951	15327	772
952	15341	756
953	15355	740
954	15375	724
955	15390	708
956	15408	692
957	15422	676
958	15438	660
959	15454	643
960	15470	627
961	15484	611
962	15499	595
963	15515	579
964	15530	563
965	15545	547
966	15562	531
967	15577	514
968	15595	498
969	15611	482
970	15626	466
971	15644	450
972	15661	434
973	15676	418
974	15692	402
975	15708	386
976	15725	370
977	15742	354
978	15760	338
979	15777	321
980	15792	305
981	15808	289
982	15825	273
983	15840	257
984	15857	241
985	15875	225
986	15890	209
987	15908	193
988	15924	177
989	15940	161
990	15958	144
991	15974	128
992	15989	112
993	16005	96
994	16021	80
995	16037	64
996	16055	48
997	16072	32
998	16088	16
999	16105	0
